5,89,Pine
80,90,Birch
52,86,Cedar
15,38,MaidenhairTree
3,20,PlaneTree
45,23,MaidenhairTree
37,27,Polar
64,95,Birch
68,6,MaidenhairTree
76,72,Polar
69,85,Pine
85,3,MaidenhairTree
92,1,PlaneTree
63,67,Cedar
95,75,Palm
26,81,Polar
49,98,PlaneTree
27,84,PlaneTree
8,48,MaidenhairTree
74,21,MaidenhairTree
39,26,Palm
78,31,PlaneTree
35,94,Palm
32,62,MaidenhairTree
59,9,Cedar
30,44,Pine
13,80,Birch
9,11,Cedar
77,54,Polar
60,65,Birch
7,96,PlaneTree
29,18,Pine
34,29,Palm
22,63,Cedar
88,25,Palm
99,49,Pine
46,91,PlaneTree
42,12,MaidenhairTree
23,0,Polar
58,64,Cedar
28,88,Pine
11,37,Cedar
54,55,Cedar
16,19,Birch
79,32,Pine
65,43,Birch
56,34,Pine
40,66,Pine
61,22,Cedar
14,99,PlaneTree
62,82,Palm
47,13,Cedar
87,46,Polar
17,35,Polar
0,74,Birch
67,51,Pine
31,53,Pine
51,97,Polar
97,36,MaidenhairTree
2,4,MaidenhairTree
75,92,Pine
98,78,PlaneTree
4,40,Birch
66,39,Polar
25,17,Cedar
33,77,Polar
71,71,Birch
10,60,Cedar
86,52,Polar
91,10,MaidenhairTree
83,59,Palm
21,57,Palm
73,50,Birch
57,5,MaidenhairTree
36,73,PlaneTree
43,42,Pine
38,14,PlaneTree
72,79,MaidenhairTree
93,16,Birch
44,61,Birch
96,76,MaidenhairTree
53,83,Palm
94,58,Pine
1,93,PlaneTree
48,15,Cedar
19,24,Pine
70,7,PlaneTree
20,68,Cedar
6,2,Cedar
18,47,Cedar
24,8,Cedar
81,70,MaidenhairTree
50,56,Polar
12,45,MaidenhairTree
89,33,Birch
41,69,Palm
55,28,Palm
90,30,Pine
82,41,Birch
84,87,PlaneTree
